# measure spin <sigma_z> d<sigma_z>
QL 1 0.9837285644292014 0.0002698672048704348
QL -1 -0.9993189612934813 5.887529182877954e-05
QH 1 0.9968201861832415 0.00011311457361074311
QH -1 -0.9998726114649658 2.4310899029991185e-05
A 1 -0.9221019108280347 0.000608729445379175
A -1 -0.9256295933366085 0.000621892731678587
B 1 0.719529642332208 0.0010672755689550594
B -1 -0.9864968152866237 0.0002516637885110414
C 1 -0.9129887310142195 0.0005975171447289941
C -1 -0.938451739343466 0.0005489863530870556
D 1 -0.9277119059284749 0.0005993388474148749
D -1 -0.9334002939735501 0.0005692088941221727
